,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,vlt,roi,stocks,sample,start,update,aid
801130,纺织服装I,25.44,38.52,偏低,17.84,63.14,28.65,30.6,-29.87,21.51,22.85,25.77,28.65,31.86,38.29,42.49,1.83,11.07,较低,1.5,6.23,2.59,2.72,-18.03,1.82,1.92,2.32,2.59,2.94,3.47,3.62,1.65,75.53,偏高,0.37,2.66,1.31,1.32,-77.58,0.77,0.9,1.1,1.31,1.46,1.7,1.9,13.9,95.59,极高,8.44,15.06,11.44,11.4,-39.28,9.64,10.14,11.35,11.44,11.79,12.35,12.7,17.29,-3.83,83,4463,2010-01-25,2020-01-22,10
801720,建筑装饰I,9.62,7.37,极低,8.85,33.6,16.55,16.06,-8.0,9.9,10.51,15.28,16.55,17.26,19.3,21.51,1.01,2.91,极低,0.91,3.89,1.79,1.79,-9.9,1.16,1.27,1.65,1.79,1.88,2.13,2.39,1.82,88.04,较高,0.54,11.78,1.15,1.3,-70.33,0.93,1.02,1.09,1.15,1.22,1.71,1.83,9.52,71.82,偏高,7.55,10.11,9.18,8.97,-20.69,7.79,7.98,9.09,9.18,9.22,9.59,9.71,15.22,-4.82,128,2509,2014-02-21,2020-01-22,10
801150,医药生物I,38.78,53.84,合理,23.49,74.37,38.38,39.18,-39.43,31.61,34.24,37.33,38.38,39.82,43.54,46.47,3.64,11.94,较低,2.56,8.35,4.3,4.52,-29.67,3.54,3.9,4.19,4.3,4.44,5.26,5.92,0.64,37.69,偏低,0.33,1.1,0.67,0.66,-48.44,0.49,0.55,0.64,0.67,0.69,0.75,0.79,10.65,99.01,极高,6.49,10.8,8.75,8.75,-39.06,7.79,8.24,8.64,8.75,8.93,9.35,9.7,17.34,6.47,321,4463,2010-01-25,2020-01-22,10
801110,家用电器I,17.35,58.71,合理,10.55,32.31,16.13,17.02,-39.19,12.44,13.45,15.24,16.13,17.52,20.1,22.21,3.41,76.0,偏高,1.77,4.85,3.02,2.94,-48.09,2.13,2.28,2.76,3.02,3.16,3.49,3.77,2.24,65.2,偏高,0.39,4.01,1.92,1.84,-82.59,0.74,1.03,1.71,1.92,2.15,2.51,2.7,5.09,18.12,较低,4.67,8.43,5.72,5.82,-8.25,4.83,5.1,5.41,5.72,5.94,6.56,6.71,19.01,14.57,59,2417,2010-01-25,2020-01-22,10
801080,电子I,49.66,50.97,合理,22.74,118.1,49.25,52.91,-54.21,32.27,36.72,45.43,49.25,54.44,69.37,75.55,4.01,74.39,偏高,2.04,6.94,3.51,3.55,-49.13,2.59,2.82,3.31,3.51,3.69,4.13,4.6,0.47,41.95,合理,0.18,1.21,0.51,0.55,-61.7,0.3,0.34,0.44,0.51,0.57,0.74,0.9,12.38,23.17,偏低,9.92,22.65,14.62,14.64,-19.87,10.84,12.06,13.74,14.62,15.34,16.45,18.14,27.27,12.84,257,2417,2010-01-25,2020-01-22,10
801760,传媒I,44.04,46.46,合理,19.49,141.84,45.84,47.85,-55.74,25.97,31.89,38.44,45.84,50.59,57.05,72.83,2.52,26.25,偏低,1.7,11.48,3.94,4.22,-32.54,2.08,2.25,3.32,3.94,4.75,5.43,6.94,0.64,71.81,偏高,0.13,1.03,0.44,0.51,-79.69,0.26,0.3,0.39,0.44,0.57,0.75,0.86,17.48,99.79,极高,9.53,17.48,11.43,11.75,-45.48,10.0,10.51,11.29,11.43,11.61,12.2,14.95,25.43,-9.04,168,1440,2014-02-21,2020-01-22,10
801740,国防军工I,61.25,16.39,较低,53.17,245.82,95.22,105.33,-13.19,57.95,63.35,76.35,95.22,108.95,143.91,167.47,2.53,28.06,偏低,1.86,8.38,3.21,3.38,-26.48,2.22,2.41,2.78,3.21,3.61,4.02,4.86,0.31,79.58,偏高,0.07,0.52,0.23,0.25,-77.42,0.18,0.19,0.21,0.23,0.26,0.31,0.33,24.21,7.92,极低,23.28,45.38,28.32,30.48,-3.84,24.44,26.47,27.96,28.32,29.27,35.31,37.65,18.34,-5.65,68,1440,2014-02-21,2020-01-22,10
801210,休闲服务I,32.49,16.47,较低,24.92,108.19,44.12,47.01,-23.3,30.37,33.71,41.43,44.12,49.23,58.12,64.73,3.48,26.44,偏低,2.47,8.2,3.8,3.97,-29.02,2.99,3.29,3.66,3.8,4.0,4.63,4.9,0.7,73.11,偏高,0.14,1.01,0.6,0.58,-80.0,0.38,0.42,0.53,0.6,0.65,0.73,0.79,9.34,13.07,较低,8.5,14.59,11.67,11.68,-8.99,9.25,10.3,11.34,11.67,12.57,13.09,13.41,22.92,6.23,33,2417,2010-01-25,2020-01-22,10
801040,钢铁I,9.44,13.24,较低,5.69,144.49,24.41,40.6,-39.72,7.56,13.48,22.06,24.41,30.77,71.26,116.51,0.9,15.85,较低,0.72,2.79,1.32,1.3,-20.0,0.81,0.92,1.16,1.32,1.42,1.64,1.77,4.32,95.82,极高,0.21,5.41,1.3,1.55,-95.14,0.35,0.67,0.99,1.3,1.55,2.24,3.0,10.49,23.83,偏低,5.77,99.57,24.98,30.15,-45.0,7.14,9.44,16.51,24.98,27.11,42.71,76.6,16.31,-5.28,32,2417,2010-01-25,2020-01-22,10
801170,交通运输I,16.92,37.19,偏低,12.1,43.29,18.44,20.02,-28.49,14.38,15.19,17.18,18.44,20.64,24.04,26.97,1.41,26.6,偏低,1.09,3.97,1.75,1.82,-22.7,1.28,1.35,1.52,1.75,1.87,2.22,2.57,1.61,59.62,合理,0.74,3.91,1.41,1.56,-54.04,0.96,1.2,1.33,1.41,1.61,2.07,2.29,12.0,72.73,偏高,6.85,13.35,11.25,11.14,-42.92,9.58,10.51,11.05,11.25,11.55,12.14,12.65,12.93,-3.26,116,2417,2010-01-25,2020-01-22,10
801230,综合I,33.61,33.76,偏低,20.71,120.55,45.24,48.68,-38.38,26.87,28.89,38.32,45.24,49.73,71.21,80.46,1.91,16.38,较低,1.12,7.75,3.03,3.21,-41.36,1.64,2.18,2.78,3.03,3.66,4.24,4.53,0.31,39.22,偏低,0.11,0.91,0.34,0.37,-64.52,0.22,0.25,0.31,0.34,0.37,0.47,0.59,17.6,64.21,偏高,8.38,21.81,16.15,15.42,-52.39,9.93,10.97,14.34,16.15,17.06,19.4,20.25,15.58,-2.39,35,2417,2010-01-25,2020-01-22,10
801020,采掘I,12.83,2.73,极低,11.87,88.01,18.51,26.39,-7.48,13.87,15.05,17.32,18.51,20.2,36.02,57.14,1.12,2.4,极低,1.03,4.61,1.72,2.03,-8.04,1.23,1.33,1.6,1.72,1.81,2.71,3.54,2.43,89.66,较高,0.22,4.1,1.74,1.64,-90.95,0.58,1.03,1.55,1.74,1.93,2.19,2.43,11.46,49.69,合理,4.63,49.27,11.46,14.65,-59.6,5.96,6.3,11.3,11.46,11.94,17.99,33.31,15.03,-7.69,66,2417,2010-01-25,2020-01-22,10
801790,非银金融I,15.72,26.74,偏低,10.8,38.08,17.39,18.72,-31.3,13.49,14.93,17.0,17.39,18.06,21.61,24.36,1.9,44.31,合理,1.43,4.18,1.92,2.06,-24.74,1.62,1.73,1.87,1.92,1.97,2.13,2.84,1.44,42.99,合理,0.41,2.65,1.48,1.49,-71.53,0.66,1.18,1.41,1.48,1.55,1.94,2.17,8.27,20.83,偏低,6.2,11.61,9.5,9.13,-25.03,6.54,8.26,9.13,9.5,9.75,10.32,10.43,21.21,-1.51,79,1440,2014-02-21,2020-01-22,10
801880,汽车I,20.5,55.14,合理,12.57,36.25,19.93,20.0,-38.68,14.7,16.34,18.15,19.93,20.96,23.38,24.73,1.68,22.15,偏低,1.35,4.45,2.34,2.25,-19.64,1.5,1.62,2.14,2.34,2.42,2.61,2.95,1.82,64.38,偏高,0.81,3.32,1.66,1.79,-55.49,1.23,1.41,1.58,1.66,1.76,2.21,2.68,12.2,97.71,极高,7.04,12.26,9.05,9.04,-42.3,7.37,8.17,8.92,9.05,9.15,9.66,10.7,15.64,-0.84,175,1440,2014-02-21,2020-01-22,10
801120,食品饮料I,31.74,64.09,偏高,16.55,43.86,29.39,28.95,-47.86,18.15,21.61,27.89,29.39,31.23,35.36,37.71,6.45,77.91,偏高,3.0,9.27,5.0,5.2,-53.49,3.57,3.86,4.45,5.0,5.56,6.53,7.26,1.3,34.42,偏低,0.43,2.66,1.46,1.42,-66.92,0.66,0.81,1.35,1.46,1.58,1.84,2.11,4.92,21.6,偏低,4.24,7.38,5.46,5.66,-13.82,4.55,4.89,5.27,5.46,5.79,6.7,6.9,19.22,22.45,95,2417,2010-01-25,2020-01-22,10
801730,电气设备I,35.15,32.36,偏低,20.32,99.99,42.14,41.21,-42.19,26.51,31.48,38.17,42.14,43.23,46.38,53.92,2.37,28.96,偏低,1.52,7.28,2.95,3.04,-35.86,1.93,2.1,2.77,2.95,3.27,3.62,4.39,0.7,58.19,合理,0.26,1.24,0.66,0.7,-62.86,0.52,0.58,0.64,0.66,0.7,0.82,0.96,14.83,88.19,较高,11.69,16.5,13.66,13.69,-21.17,12.63,12.9,13.53,13.66,13.76,14.62,14.92,18.67,-0.52,195,1440,2014-02-21,2020-01-22,10
801200,商业贸易I,14.88,1.86,极低,14.05,71.38,27.97,29.71,-5.58,17.37,19.47,22.38,27.97,32.16,40.57,45.76,1.44,5.3,极低,1.3,5.51,2.37,2.57,-9.72,1.53,1.89,2.14,2.37,2.55,3.46,4.09,1.46,92.01,极高,0.39,1.72,0.84,0.94,-73.29,0.53,0.63,0.75,0.84,1.0,1.3,1.43,10.33,38.6,偏低,7.22,20.64,10.93,11.76,-30.11,8.2,9.2,10.38,10.93,11.84,14.01,16.16,16.6,-4.87,96,2417,2010-01-25,2020-01-22,10
801030,化工I,22.47,27.55,偏低,13.01,76.55,27.49,30.24,-42.1,18.44,19.99,25.91,27.49,30.02,42.28,45.41,1.97,13.2,较低,1.53,5.3,2.52,2.59,-22.34,1.85,2.11,2.36,2.52,2.65,2.97,3.43,1.54,85.35,较高,0.33,2.17,0.91,1.0,-78.57,0.52,0.61,0.8,0.91,1.08,1.24,1.73,11.41,47.91,合理,6.78,16.83,11.68,11.51,-40.58,8.39,9.19,10.83,11.68,12.33,13.42,15.2,13.5,2.52,343,2417,2010-01-25,2020-01-22,10
801180,房地产I,9.61,7.49,极低,8.09,39.04,15.89,17.03,-15.82,10.1,11.28,14.42,15.89,17.44,22.22,24.46,1.39,10.8,较低,1.13,4.09,1.98,2.05,-18.71,1.37,1.59,1.88,1.98,2.15,2.46,2.71,2.79,90.36,极高,0.36,3.63,1.3,1.41,-87.1,0.62,0.81,1.07,1.3,1.4,1.91,2.74,6.91,0.12,极低,6.9,11.86,7.81,8.13,-0.14,7.07,7.25,7.69,7.81,8.09,9.26,9.7,19.17,-0.04,132,2417,2010-01-25,2020-01-22,10
801750,计算机I,65.39,77.64,偏高,37.34,159.7,56.72,61.88,-42.9,46.36,48.74,54.0,56.72,58.86,69.19,92.81,4.31,44.51,合理,2.47,15.76,4.48,5.23,-42.69,3.22,3.6,4.14,4.48,5.07,6.32,8.7,0.31,13.06,较低,0.18,0.69,0.39,0.4,-41.94,0.28,0.35,0.38,0.39,0.41,0.48,0.53,15.17,85.69,较高,9.15,16.57,11.37,12.47,-39.68,10.1,10.39,10.82,11.37,13.73,15.09,15.54,22.28,5.76,227,1440,2014-02-21,2020-01-22,10
801010,农林牧渔I,32.24,26.73,偏低,23.6,119.64,43.94,47.98,-26.8,27.33,30.81,39.2,43.94,51.17,65.19,73.01,3.6,51.84,合理,2.33,7.37,3.53,3.76,-35.28,2.73,2.95,3.35,3.53,3.85,4.56,5.12,1.3,87.01,较高,0.25,1.88,0.58,0.73,-80.77,0.33,0.38,0.52,0.58,0.74,1.08,1.39,8.96,8.27,极低,7.1,16.79,12.75,12.55,-20.76,9.02,10.04,12.02,12.75,13.96,15.1,15.99,25.09,6.79,85,2417,2010-01-25,2020-01-22,10
801140,轻工制造I,25.27,18.12,较低,14.23,113.29,36.66,39.54,-43.69,20.59,26.84,34.42,36.66,38.48,51.08,59.2,1.83,19.2,较低,1.45,6.39,2.52,2.6,-20.77,1.69,1.84,2.27,2.52,2.72,3.25,3.58,1.01,73.31,偏高,0.28,1.54,0.79,0.82,-72.28,0.47,0.55,0.74,0.79,0.87,1.09,1.2,13.81,39.06,偏低,9.65,24.63,14.75,15.08,-30.12,10.29,12.0,13.89,14.75,15.57,17.7,19.07,15.6,0.73,130,2417,2010-01-25,2020-01-22,10
801710,建筑材料I,12.76,18.47,较低,9.98,50.69,25.56,25.42,-21.79,11.44,13.04,18.97,25.56,29.75,38.02,40.78,1.88,27.92,偏低,1.5,4.09,2.19,2.21,-20.21,1.64,1.75,2.05,2.19,2.36,2.59,2.68,2.13,89.24,较高,0.5,3.37,1.1,1.24,-76.53,0.64,0.75,1.0,1.1,1.24,1.76,2.14,6.79,18.96,较低,6.19,17.77,10.34,11.14,-8.84,6.65,6.83,9.34,10.34,12.13,15.58,16.73,20.66,6.88,68,1440,2014-02-21,2020-01-22,10
801050,有色金属I,39.56,39.76,偏低,20.95,140.31,45.79,54.86,-47.04,28.43,32.66,39.77,45.79,52.72,81.59,101.61,2.15,12.66,较低,1.69,6.96,3.18,3.35,-21.4,2.06,2.33,2.96,3.18,3.32,4.08,5.12,0.63,62.89,偏高,0.18,1.34,0.5,0.6,-71.43,0.31,0.34,0.43,0.5,0.59,0.89,1.09,18.4,69.14,偏高,7.59,35.55,15.21,16.83,-58.75,8.49,10.22,14.06,15.21,16.71,22.7,28.32,24.79,-2.34,119,2417,2010-01-25,2020-01-22,10
801160,公用事业I,18.88,17.13,较低,13.78,40.4,23.38,23.76,-27.01,17.11,19.37,21.77,23.38,24.33,27.89,30.94,1.41,1.82,极低,1.35,4.54,2.11,2.16,-4.26,1.54,1.76,1.97,2.11,2.23,2.51,2.73,1.86,91.1,极高,0.59,2.35,1.53,1.49,-68.28,1.11,1.28,1.46,1.53,1.59,1.72,1.83,13.39,81.09,较高,7.86,14.86,11.87,11.22,-41.3,8.08,8.48,10.57,11.87,12.33,13.35,13.69,11.02,-6.94,166,2417,2010-01-25,2020-01-22,10
801770,通信I,39.98,27.36,偏低,29.15,95.06,45.95,48.13,-27.09,35.24,38.45,43.03,45.95,48.8,60.01,63.28,2.85,40.0,合理,1.95,6.6,3.11,3.19,-31.58,2.32,2.49,2.85,3.11,3.32,3.77,4.15,0.43,38.33,偏低,0.15,0.84,0.44,0.43,-65.12,0.31,0.35,0.43,0.44,0.46,0.49,0.51,14.03,34.72,偏低,12.61,20.57,14.5,15.22,-10.12,13.15,13.57,14.19,14.5,15.3,16.74,18.99,21.28,2.51,106,1440,2014-02-21,2020-01-22,10
801780,银行I,6.89,61.04,偏高,4.5,8.78,6.71,6.6,-34.69,4.86,6.28,6.59,6.71,6.86,7.21,7.49,0.8,9.17,极低,0.72,1.46,0.93,0.95,-10.0,0.8,0.84,0.9,0.93,0.95,1.04,1.16,3.34,27.01,偏低,2.31,5.91,3.6,3.69,-30.84,2.96,3.23,3.49,3.6,3.75,4.09,4.64,8.61,95.49,极高,5.11,8.99,7.33,7.02,-40.65,5.38,5.85,6.83,7.33,7.52,8.03,8.24,11.94,2.51,36,1440,2014-02-21,2020-01-22,10
801890,机械设备I,27.37,14.93,较低,23.47,136.07,47.29,50.82,-14.25,26.34,28.03,38.7,47.29,57.63,72.18,79.51,2.11,27.64,偏低,1.6,6.21,2.74,2.74,-24.17,1.91,2.0,2.4,2.74,2.89,3.18,3.74,0.91,68.26,偏高,0.26,1.32,0.65,0.72,-71.43,0.42,0.48,0.6,0.65,0.77,1.01,1.09,12.97,4.24,极低,12.78,24.86,17.27,17.81,-1.46,13.9,14.1,15.78,17.27,18.62,21.78,22.74,14.85,-3.53,352,1440,2014-02-21,2020-01-22,10
801130,纺织服装I,25.44,21.58,偏低,18.13,63.14,33.99,33.01,-28.73,22.36,25.18,31.56,33.99,35.18,38.88,41.52,1.83,13.74,较低,1.5,6.23,3.04,2.97,-18.03,1.77,2.04,2.64,3.04,3.35,3.6,4.11,1.65,78.86,偏高,0.42,2.66,1.15,1.33,-74.55,0.85,0.96,1.07,1.15,1.39,1.67,2.08,13.9,94.98,极高,9.63,14.23,11.33,11.39,-30.72,10.02,10.13,11.2,11.33,11.48,12.22,12.72,17.29,-3.83,83,2053,2015-01-23,2020-01-22,5
801720,建筑装饰I,9.62,3.17,极低,8.85,33.6,17.16,17.15,-8.0,10.44,12.35,16.49,17.16,18.22,19.91,22.1,1.01,3.56,极低,0.91,3.89,1.85,1.87,-9.9,1.13,1.35,1.77,1.85,1.93,2.17,2.53,1.82,94.35,极高,0.54,11.78,1.1,1.19,-70.33,0.9,1.0,1.06,1.1,1.15,1.38,1.7,9.52,65.56,偏高,7.86,10.11,9.21,9.23,-17.44,8.69,8.9,9.18,9.21,9.37,9.63,9.73,15.22,-4.82,128,2053,2015-01-23,2020-01-22,5
801150,医药生物I,38.78,43.59,合理,23.49,74.37,39.86,40.76,-39.43,32.53,36.09,38.48,39.86,40.98,44.75,49.89,3.64,17.19,较低,2.56,8.35,4.22,4.39,-29.67,3.31,3.88,4.11,4.22,4.33,4.76,5.67,0.64,43.45,合理,0.33,1.1,0.65,0.66,-48.44,0.52,0.56,0.62,0.65,0.68,0.75,0.83,10.65,97.86,极高,8.5,10.8,9.26,9.34,-20.19,8.71,8.88,9.09,9.26,9.39,9.71,9.92,17.34,6.47,321,2053,2015-01-23,2020-01-22,5
801110,家用电器I,17.35,50.0,合理,10.55,25.46,17.34,17.16,-39.19,13.26,15.24,16.43,17.34,17.97,19.62,20.41,3.41,66.83,偏高,2.19,4.85,3.2,3.25,-35.78,2.65,2.89,3.12,3.2,3.29,3.68,3.9,2.24,50.0,合理,0.62,3.39,2.23,2.18,-72.32,1.56,1.72,2.1,2.23,2.35,2.57,2.81,5.09,36.14,偏低,4.67,6.11,5.23,5.27,-8.25,4.77,4.83,5.12,5.23,5.27,5.62,5.87,19.01,14.57,59,1212,2015-01-23,2020-01-22,5
801080,电子I,49.66,54.54,合理,22.74,113.84,47.3,51.37,-54.21,29.94,33.12,40.88,47.3,58.28,70.08,74.65,4.01,75.0,偏高,2.09,6.94,3.6,3.6,-47.88,2.59,2.98,3.48,3.6,3.78,4.07,4.47,0.47,48.27,合理,0.18,1.02,0.47,0.52,-61.7,0.3,0.34,0.38,0.47,0.51,0.73,0.88,12.38,46.12,合理,9.92,19.16,12.51,13.95,-19.87,10.7,10.84,12.06,12.51,15.93,17.41,18.11,27.27,12.84,257,1212,2015-01-23,2020-01-22,5
801760,传媒I,44.04,55.12,合理,19.49,141.84,38.76,47.13,-55.74,24.54,31.09,37.14,38.76,46.8,58.8,74.8,2.52,31.19,偏低,1.7,11.48,3.37,4.04,-32.54,2.03,2.19,3.03,3.37,3.95,5.49,7.25,0.64,66.58,偏高,0.13,1.03,0.54,0.52,-79.69,0.25,0.29,0.34,0.54,0.6,0.78,0.87,17.48,99.75,极高,9.81,17.48,11.59,12.07,-43.88,10.58,10.83,11.43,11.59,11.67,12.35,15.1,25.43,-9.04,168,1212,2015-01-23,2020-01-22,5
801740,国防军工I,61.25,18.81,较低,53.17,245.82,98.51,109.02,-13.19,57.22,62.0,76.34,98.51,125.0,150.91,171.04,2.53,30.2,偏低,1.86,8.38,3.25,3.42,-26.48,2.16,2.36,2.77,3.25,3.62,4.11,4.99,0.31,83.75,较高,0.07,0.39,0.22,0.23,-77.42,0.17,0.19,0.21,0.22,0.24,0.3,0.32,24.21,9.41,极低,23.28,45.38,28.88,31.19,-3.84,24.32,26.93,28.27,28.88,30.36,37.01,38.88,18.34,-5.65,68,1212,2015-01-23,2020-01-22,5
801210,休闲服务I,32.49,17.82,较低,24.92,108.19,43.2,47.88,-23.3,29.9,33.09,40.71,43.2,49.39,61.1,72.11,3.48,16.17,较低,2.68,8.2,3.9,4.22,-22.99,3.25,3.54,3.79,3.9,4.35,4.82,5.56,0.7,69.8,偏高,0.14,1.01,0.63,0.56,-80.0,0.32,0.38,0.45,0.63,0.67,0.73,0.8,9.34,26.07,偏低,8.5,14.59,11.08,11.09,-8.99,9.12,9.25,10.95,11.08,11.49,12.95,13.23,22.92,6.23,33,1212,2015-01-23,2020-01-22,5
