,name,pe,pe_ratio,pe_state,pe_min,pe_max,pe_median,pe_mean,pe_drop,pe_q10,pe_q20,pe_q40,pe_q50,pe_q60,pe_q80,pe_q90,pb,pb_ratio,pb_state,pb_min,pb_max,pb_median,pb_mean,pb_drop,pb_q10,pb_q20,pb_q40,pb_q50,pb_q60,pb_q80,pb_q90,ps,ps_ratio,ps_state,ps_min,ps_max,ps_median,ps_mean,ps_drop,ps_q10,ps_q20,ps_q40,ps_q50,ps_q60,ps_q80,ps_q90,pcf,pcf_ratio,pcf_state,pcf_min,pcf_max,pcf_median,pcf_mean,pcf_drop,pcf_q10,pcf_q20,pcf_q40,pcf_q50,pcf_q60,pcf_q80,pcf_q90,roe,roe_ratio,roe_state,roe_min,roe_max,roe_median,roe_mean,roe_drop,roe_q10,roe_q20,roe_q40,roe_q50,roe_q60,roe_q80,roe_q90,dyr,dyr_ratio,dyr_state,dyr_min,dyr_max,dyr_median,dyr_mean,dyr_drop,dyr_q10,dyr_q20,dyr_q40,dyr_q50,dyr_q60,dyr_q80,dyr_q90,cap,roe,roe_mean,Profit_margin,income,profit,peg,industry,sample,start,update,aid
601009.XSHG,南京银行,5.91,23.42,偏低,4.87,12.87,7.67,7.37,-17.6,5.2,5.65,7.35,7.67,7.87,8.45,8.98,1.06,31.94,偏低,0.8,2.15,1.16,1.14,-24.53,0.86,0.94,1.11,1.16,1.19,1.29,1.36,2.41,29.48,偏低,1.89,4.35,2.59,2.61,-21.58,2.19,2.32,2.52,2.59,2.66,2.85,3.02,-11.54,33.5,偏低,-430.07,62.73,-3.59,-44.97,,-185.12,-28.85,-6.53,-3.59,3.18,5.78,8.21,17.85,99.75,极高,12.35,17.86,16.14,15.6,-30.81,13.33,13.67,15.66,16.14,16.42,16.82,17.06,4.69,75.76,偏高,1.78,5.82,2.66,3.16,-62.05,2.0,2.13,2.35,2.66,3.08,4.9,5.13,32.25,14.96,16.48,,24.05,19.33,0.31,银行I,1221,2013-08-12,2018-08-10,5
600036.XSHG,招商银行,9.48,66.98,偏高,6.13,12.54,7.81,8.57,-35.34,7.23,7.42,7.67,7.81,8.67,10.13,10.7,1.49,66.03,偏高,1.03,1.96,1.29,1.36,-30.87,1.14,1.16,1.22,1.29,1.37,1.6,1.64,3.06,68.62,偏高,1.82,4.0,2.35,2.63,-40.52,2.07,2.15,2.28,2.35,2.66,3.23,3.43,8.26,64.53,偏高,-11.02,31.9,5.45,3.73,-233.41,-10.27,-5.26,-3.11,5.45,6.7,11.59,13.23,15.73,51.71,合理,14.62,17.67,15.72,15.91,-7.06,15.39,15.49,15.69,15.72,15.76,16.72,16.84,2.99,31.65,偏低,2.09,4.72,3.65,3.41,-30.1,2.54,2.68,3.33,3.65,3.73,3.86,4.04,767.81,15.81,17.98,,14.52,9.23,1.03,银行I,733,2015-08-11,2018-08-10,3
600000.XSHG,浦发银行,5.46,5.18,极低,4.79,7.59,6.63,6.53,-12.27,5.86,6.22,6.55,6.63,6.71,6.92,7.02,0.75,4.5,极低,0.68,1.25,1.0,0.99,-9.33,0.83,0.93,0.99,1.0,1.02,1.05,1.12,1.79,4.91,极低,1.64,2.64,2.24,2.2,-8.38,1.95,2.12,2.21,2.24,2.25,2.33,2.39,11.85,94.82,极高,-63.65,12.98,-1.82,0.04,-637.13,-5.65,-3.3,-2.01,-1.82,1.79,4.98,8.47,13.68,6.96,极低,13.58,17.74,15.11,15.1,-0.73,13.71,14.02,14.75,15.11,15.51,16.39,16.5,0.99,0.14,极低,0.98,6.11,2.84,2.62,-1.01,1.14,1.18,1.57,2.84,2.9,4.06,4.35,299.47,13.62,17.45,,15.46,9.87,0.55,银行I,733,2015-08-11,2018-08-10,3
600926.XSHG,杭州银行,8.2,4.77,极低,7.57,19.36,12.7,11.96,-7.68,8.85,9.12,10.39,12.7,13.18,14.21,15.07,0.96,7.5,极低,0.88,2.19,1.33,1.3,-8.33,0.97,0.99,1.12,1.33,1.4,1.59,1.7,2.6,4.32,极低,2.4,5.57,3.8,3.65,-7.69,2.81,2.91,3.37,3.8,3.99,4.18,4.37,1.94,58.18,合理,0.87,5.04,1.85,2.19,-55.15,1.08,1.12,1.8,1.85,1.96,3.65,3.92,11.64,94.09,极高,10.09,11.64,10.88,10.88,-13.32,10.47,10.49,10.57,10.88,10.9,11.32,11.34,2.66,61.59,偏高,1.37,2.93,1.8,1.79,-48.5,1.43,1.46,1.68,1.8,1.83,1.91,1.97,38.06,10.04,10.74,,6.77,10.85,0.76,银行I,440,2016-10-27,2018-08-10,3
002142.XSHE,宁波银行,8.47,28.24,偏低,6.51,11.86,8.91,9.03,-23.14,8.04,8.31,8.71,8.91,9.11,9.78,10.23,1.4,48.02,合理,1.01,2.13,1.41,1.49,-27.86,1.22,1.28,1.36,1.41,1.52,1.74,1.82,3.28,66.3,偏高,2.36,4.34,3.0,3.14,-28.05,2.68,2.79,2.92,3.0,3.2,3.48,3.73,135.43,94.68,极高,-24.51,143.32,5.82,15.94,-118.1,-8.88,-7.72,-1.32,5.82,10.11,18.77,20.27,16.49,47.48,合理,13.44,19.01,16.53,16.44,-18.5,14.49,15.05,16.01,16.53,16.59,17.99,18.25,2.33,35.33,偏低,1.25,3.82,2.51,2.3,-46.35,1.48,1.57,2.44,2.51,2.57,2.79,2.92,48.12,17.42,17.92,,19.81,18.08,0.47,银行I,733,2015-08-11,2018-08-10,3
601939.XSHG,建设银行,6.96,67.26,偏高,4.94,10.27,6.37,6.52,-29.02,5.27,5.61,6.09,6.37,6.55,7.39,7.75,1.02,56.89,合理,0.78,1.47,0.97,0.99,-23.53,0.84,0.87,0.94,0.97,1.03,1.08,1.13,2.7,65.62,偏高,1.84,4.06,2.41,2.51,-31.85,1.97,2.06,2.3,2.41,2.59,2.93,3.05,35.28,77.9,偏高,-71.53,86.25,12.83,18.56,-302.75,-10.01,6.05,11.21,12.83,21.12,35.69,62.78,14.6,29.74,偏低,14.0,17.7,14.81,15.21,-4.11,14.25,14.28,14.71,14.81,15.1,16.72,16.86,4.74,33.29,偏低,3.08,7.73,4.97,5.08,-35.02,4.25,4.61,4.84,4.97,5.15,5.53,6.22,3268.62,14.36,17.47,,6.27,4.7,1.48,银行I,733,2015-08-11,2018-08-10,3
601128.XSHG,常熟银行,9.74,7.05,极低,-4.84,31.09,20.2,18.75,-149.69,10.23,12.18,14.85,20.2,22.05,25.17,27.23,1.22,5.73,极低,1.18,3.3,2.17,2.09,-3.28,1.32,1.49,1.74,2.17,2.39,2.68,2.88,2.5,7.05,极低,-1.76,7.21,4.79,4.46,-170.4,2.63,3.11,3.65,4.79,5.09,5.92,6.33,4.39,83.48,较高,-57.26,28.42,-38.4,-24.74,-1404.33,-49.91,-43.42,-39.34,-38.4,-12.51,4.29,5.13,12.56,86.78,较高,-40.08,12.56,11.06,10.98,-419.11,10.37,10.55,10.97,11.06,11.37,12.13,12.56,3.12,59.47,合理,1.52,3.24,2.39,2.31,-51.28,1.61,1.69,2.25,2.39,2.49,2.67,3.12,8.78,12.31,11.9,,19.9,14.61,0.67,银行I,454,2016-09-30,2018-08-10,3
600016.XSHG,民生银行,5.16,3.41,极低,4.85,7.88,6.76,6.61,-6.01,5.73,6.08,6.49,6.76,6.96,7.2,7.3,0.7,3.0,极低,0.66,1.24,1.01,0.96,-5.71,0.77,0.85,0.9,1.01,1.05,1.09,1.12,1.8,3.14,极低,1.69,2.41,2.11,2.08,-6.11,1.93,1.99,2.07,2.11,2.13,2.18,2.22,-8.2,65.35,偏高,-72.23,12.65,-19.67,-22.84,,-66.42,-39.65,-23.17,-19.67,-8.6,-7.23,-2.05,13.6,24.83,偏低,13.44,16.4,14.33,14.51,-1.18,13.53,13.56,14.16,14.33,14.54,15.72,15.82,1.3,43.93,合理,0.79,2.12,1.36,1.39,-39.23,0.85,1.18,1.27,1.36,1.46,1.62,1.79,431.56,13.78,17.86,,7.36,5.86,0.88,银行I,733,2015-08-11,2018-08-10,3
601288.XSHG,农业银行,6.45,80.49,较高,4.94,8.13,5.84,6.02,-23.41,5.58,5.64,5.76,5.84,6.0,6.43,6.62,0.89,54.98,合理,0.77,1.16,0.88,0.88,-13.48,0.8,0.81,0.84,0.88,0.89,0.93,0.99,2.32,80.76,较高,1.7,2.92,2.05,2.11,-26.72,1.89,1.93,1.99,2.05,2.15,2.31,2.37,14.35,89.77,较高,-29.05,191.62,5.31,10.88,-302.44,-13.72,-3.69,4.65,5.31,5.8,12.14,14.35,13.78,3.82,极低,13.49,16.48,14.39,14.59,-2.1,13.8,13.93,14.31,14.39,14.44,15.36,15.41,4.62,20.74,偏低,3.58,6.64,5.15,5.13,-22.51,4.46,4.61,4.97,5.15,5.29,5.72,5.83,2095.61,14.04,17.01,,5.13,5.98,1.08,银行I,733,2015-08-11,2018-08-10,3
601818.XSHG,光大银行,5.89,13.92,较低,5.36,8.36,6.21,6.3,-9.0,5.83,5.93,6.1,6.21,6.31,6.64,6.92,0.72,6.68,极低,0.68,1.1,0.79,0.81,-5.56,0.73,0.75,0.78,0.79,0.81,0.9,0.94,2.01,42.02,合理,1.73,2.84,2.03,2.07,-13.93,1.85,1.9,2.0,2.03,2.07,2.24,2.33,-2.36,27.69,偏低,-8.74,9.27,5.5,3.01,,-3.34,-2.69,4.37,5.5,6.83,7.25,7.42,12.25,30.15,偏低,11.45,14.99,13.13,12.91,-6.53,11.82,12.11,12.79,13.13,13.13,13.63,13.65,5.27,96.18,极高,1.78,5.57,4.59,3.94,-66.22,2.27,2.42,4.3,4.59,4.77,4.97,5.07,297.27,11.32,15.19,,9.3,6.06,0.97,银行I,733,2015-08-11,2018-08-10,3
601997.XSHG,贵阳银行,5.84,3.09,极低,5.68,14.82,9.13,9.03,-2.74,6.5,7.46,8.48,9.13,9.53,10.73,11.07,1.09,3.51,极低,1.05,3.11,1.62,1.64,-3.67,1.18,1.34,1.53,1.62,1.68,1.87,2.0,2.15,2.47,极低,2.09,6.2,3.21,3.34,-2.79,2.39,2.66,2.98,3.21,3.35,4.05,4.44,-5.61,21.03,偏低,-16.55,50.76,2.34,10.33,,-6.45,-5.68,2.24,2.34,4.09,44.21,47.3,18.69,85.57,较高,15.66,21.02,17.91,18.08,-16.21,16.92,17.34,17.82,17.91,18.03,18.33,18.69,2.75,56.29,合理,1.49,2.83,1.77,1.86,-45.82,1.64,1.69,1.74,1.77,1.81,1.93,2.14,14.76,19.47,20.07,,27.33,18.7,0.31,银行I,485,2016-08-16,2018-08-10,3
601166.XSHG,兴业银行,5.51,7.78,极低,4.79,7.03,5.96,6.01,-13.07,5.55,5.76,5.88,5.96,6.04,6.37,6.55,0.81,5.18,极低,0.72,1.1,0.93,0.93,-11.11,0.82,0.89,0.92,0.93,0.94,0.99,1.02,2.27,64.67,偏高,1.78,2.88,2.09,2.17,-21.59,1.87,1.91,2.01,2.09,2.19,2.48,2.55,-4.75,5.46,极低,-5.05,3.3,-2.38,-0.57,,-4.37,-2.89,-2.57,-2.38,0.85,2.89,3.12,14.63,7.23,极低,13.53,17.45,15.44,15.5,-7.52,14.63,14.66,15.36,15.44,15.51,16.5,16.61,4.22,94.68,极高,3.14,4.7,3.66,3.7,-25.59,3.41,3.5,3.61,3.66,3.74,3.84,3.97,301.53,14.2,17.98,,10.69,10.61,0.52,银行I,733,2015-08-11,2018-08-10,3
000001.XSHE,平安银行,6.72,13.23,较低,6.26,11.26,7.13,7.59,-6.85,6.64,6.82,6.99,7.13,7.39,8.41,9.0,0.79,10.91,较低,0.71,1.31,0.9,0.92,-10.13,0.78,0.8,0.84,0.9,0.95,1.05,1.13,1.49,26.47,偏低,1.36,2.46,1.59,1.68,-8.72,1.45,1.47,1.52,1.59,1.72,1.88,2.03,2.24,91.95,极高,-26.43,2.88,-0.6,-2.94,-1279.91,-21.1,-2.19,-0.9,-0.6,0.68,2.09,2.19,11.72,44.61,合理,10.86,14.19,11.76,12.19,-7.34,11.47,11.55,11.62,11.76,11.92,13.55,13.92,1.47,88.13,较高,1.05,1.84,1.37,1.35,-28.57,1.17,1.26,1.35,1.37,1.39,1.43,1.47,131.96,10.92,14.01,,22.63,12.01,0.56,银行I,733,2015-08-11,2018-08-10,3
600015.XSHG,华夏银行,4.87,3.41,极低,4.63,6.93,5.92,5.89,-4.93,5.43,5.55,5.82,5.92,6.04,6.24,6.4,0.64,2.86,极低,0.61,1.16,0.83,0.84,-4.69,0.71,0.75,0.81,0.83,0.85,0.95,1.0,1.47,3.41,极低,1.4,2.27,1.81,1.82,-4.76,1.67,1.74,1.79,1.81,1.84,1.93,2.0,-0.64,38.74,偏低,-2.32,36.4,0.79,5.59,,-1.05,-0.78,-0.63,0.79,0.99,1.17,33.61,13.22,15.96,较低,12.59,16.81,13.48,14.28,-4.77,13.16,13.22,13.48,13.48,13.61,16.64,16.72,2.0,33.83,偏低,1.45,4.21,3.23,2.78,-27.5,1.61,1.64,3.08,3.23,3.36,3.56,3.64,102.74,12.33,16.48,,10.95,9.41,0.52,银行I,733,2015-08-11,2018-08-10,3
603323.XSHG,吴江银行,11.97,6.71,极低,11.07,36.27,22.18,21.5,-7.52,12.75,15.12,18.14,22.18,24.23,27.64,30.13,1.1,6.95,极低,1.0,3.17,1.92,1.89,-9.09,1.15,1.32,1.58,1.92,2.08,2.47,2.75,3.32,7.67,极低,2.99,10.15,6.12,5.93,-9.94,3.44,4.07,4.88,6.12,6.72,7.58,8.49,-3.83,81.53,较高,-369.98,-2.15,-6.34,-77.75,,-314.27,-256.93,-13.12,-6.34,-5.71,-4.01,-3.39,9.16,81.53,较高,8.37,9.29,8.75,8.79,-8.62,8.4,8.51,8.64,8.75,8.81,9.04,9.27,2.27,56.12,合理,0.37,2.6,0.54,0.85,-83.7,0.4,0.42,0.52,0.54,0.56,0.63,2.36,9.55,9.02,9.0,,7.79,10.01,1.2,银行I,417,2016-11-29,2018-08-10,3
601229.XSHG,上海银行,7.35,4.23,极低,7.07,12.97,9.38,9.02,-3.81,7.51,7.67,8.12,9.38,9.66,10.13,10.49,0.96,34.74,偏低,0.81,1.76,1.16,1.14,-15.62,0.91,0.93,0.98,1.16,1.23,1.34,1.4,3.32,3.29,极低,3.2,5.16,3.99,3.98,-3.61,3.48,3.56,3.76,3.99,4.12,4.41,4.56,-4.88,38.26,偏低,-10.0,105.98,-4.74,-0.23,,-9.0,-7.84,-4.87,-4.74,2.26,7.86,8.19,13.12,73.47,偏高,11.36,13.9,12.14,12.58,-13.41,12.06,12.07,12.12,12.14,12.45,13.55,13.82,3.14,57.04,合理,1.88,3.48,2.47,2.44,-40.13,2.07,2.15,2.43,2.47,2.52,2.6,2.67,144.65,11.6,12.64,,0.03,8.59,0.86,银行I,426,2016-11-16,2018-08-10,3
002807.XSHE,江阴银行,12.29,5.93,极低,11.58,53.83,23.75,24.74,-5.78,13.48,15.76,20.14,23.75,26.62,29.76,40.07,1.09,5.72,极低,1.03,4.73,2.16,2.24,-5.5,1.2,1.39,1.79,2.16,2.42,2.79,3.69,3.89,5.72,极低,3.67,17.26,7.52,7.88,-5.66,4.27,5.08,6.55,7.52,8.45,9.47,12.57,-2.51,13.56,较低,-25.31,25.49,2.42,3.89,,-2.73,1.09,1.44,2.42,2.69,12.93,15.18,8.88,41.31,合理,8.71,10.67,8.88,9.03,-1.91,8.78,8.84,8.85,8.88,8.98,9.06,9.08,1.76,34.96,偏低,0.93,2.25,1.71,1.65,-47.16,1.19,1.27,1.6,1.71,1.81,1.91,2.11,-358.54,9.39,9.49,,0.07,-0.28,-43.89,银行I,472,2016-09-02,2018-08-10,3
600919.XSHG,江苏银行,5.94,3.03,极低,5.8,16.27,9.4,9.29,-2.36,6.76,7.2,8.53,9.4,9.88,11.16,11.77,0.78,3.43,极低,0.76,2.35,1.23,1.23,-2.56,0.87,0.94,1.11,1.23,1.29,1.46,1.65,2.14,3.03,极低,2.08,5.46,3.22,3.2,-2.8,2.43,2.53,2.96,3.22,3.39,3.8,3.97,-0.46,45.05,合理,-6.32,12.85,-0.45,2.22,,-2.74,-2.54,-0.52,-0.45,1.62,11.33,11.95,13.16,65.86,偏高,12.54,14.57,13.03,13.17,-4.71,12.88,12.9,12.97,13.03,13.03,13.17,14.39,2.87,56.16,合理,1.81,2.94,2.29,2.31,-36.93,1.93,2.03,2.23,2.29,2.37,2.48,2.8,61.24,12.17,13.24,,9.69,11.82,0.5,银行I,495,2016-08-02,2018-08-10,3
600908.XSHG,无锡银行,10.42,4.14,极低,10.09,48.05,20.68,20.53,-3.17,11.67,13.34,16.44,20.68,22.87,26.55,28.92,1.15,3.27,极低,1.11,4.93,2.11,2.16,-3.48,1.28,1.44,1.75,2.11,2.41,2.78,3.0,3.62,4.14,极低,3.5,16.9,7.26,7.23,-3.31,4.06,4.66,5.77,7.26,8.06,9.43,10.19,-2.43,91.07,极高,-90.98,-2.15,-24.04,-21.73,,-35.21,-30.45,-25.0,-24.04,-20.34,-2.86,-2.45,11.03,84.97,较高,10.0,11.48,10.6,10.59,-9.34,10.18,10.24,10.58,10.6,10.61,10.8,11.03,2.6,57.52,合理,1.13,2.68,1.87,1.86,-56.54,1.28,1.33,1.79,1.87,1.92,2.21,2.56,11.48,11.26,11.22,,9.19,9.29,1.12,银行I,459,2016-09-23,2018-08-10,3
601169.XSHG,北京银行,6.45,2.18,极低,5.62,8.98,7.62,7.64,-12.87,6.61,7.17,7.52,7.62,7.76,8.24,8.51,0.78,2.05,极低,0.75,1.29,1.07,1.05,-3.85,0.89,0.99,1.05,1.07,1.08,1.12,1.16,2.44,1.77,极低,2.34,3.33,2.89,2.9,-4.1,2.65,2.75,2.84,2.89,2.94,3.09,3.17,-11.79,8.32,极低,-13.97,6.26,0.92,-0.19,,-2.95,-2.69,-1.28,0.92,1.04,4.27,5.89,12.07,17.46,较低,11.65,16.36,14.01,13.75,-3.48,11.85,12.07,13.66,14.01,14.1,15.87,15.94,4.59,98.36,极高,1.9,4.73,2.36,2.44,-58.61,2.03,2.08,2.27,2.36,2.41,2.72,2.83,122.68,11.84,15.46,,12.76,10.03,0.64,银行I,733,2015-08-11,2018-08-10,3
601988.XSHG,中国银行,5.96,33.56,偏低,5.4,8.0,6.4,6.37,-9.4,5.71,5.79,6.14,6.4,6.55,6.93,7.08,0.77,37.11,偏低,0.69,1.07,0.79,0.82,-10.39,0.73,0.74,0.77,0.79,0.82,0.92,0.95,2.17,35.88,偏低,1.96,2.93,2.22,2.29,-9.68,2.04,2.08,2.18,2.22,2.33,2.52,2.59,33.49,91.68,极高,-33.0,36.99,-1.97,1.24,-198.54,-7.11,-6.62,-2.29,-1.97,3.16,5.95,7.2,12.92,68.35,偏高,11.28,14.67,12.69,12.83,-12.69,12.35,12.47,12.67,12.69,12.75,13.46,13.55,5.13,72.58,偏高,3.55,6.32,4.86,4.88,-30.8,4.29,4.49,4.75,4.86,4.95,5.22,5.62,2269.36,11.7,14.06,,5.83,4.45,1.34,银行I,733,2015-08-11,2018-08-10,3
601398.XSHG,工商银行,6.78,66.71,偏高,5.01,9.74,6.02,6.43,-26.11,5.51,5.64,5.84,6.02,6.44,7.42,7.7,0.98,58.53,合理,0.8,1.38,0.94,0.96,-18.37,0.82,0.85,0.88,0.94,0.98,1.06,1.14,2.67,61.12,偏高,2.04,3.98,2.42,2.59,-23.6,2.18,2.23,2.35,2.42,2.63,3.0,3.16,6.24,44.07,合理,-7.39,123.52,6.34,17.53,-218.43,-6.17,3.08,5.71,6.34,6.53,10.07,114.59,14.46,46.79,合理,13.67,17.35,14.81,14.96,-5.46,14.01,14.15,14.35,14.81,14.95,16.42,16.55,4.47,32.74,偏低,3.05,6.65,5.03,4.93,-31.77,3.95,4.09,4.7,5.03,5.25,5.68,5.95,5106.32,13.86,17.29,,6.36,3.76,1.8,银行I,733,2015-08-11,2018-08-10,3
601998.XSHG,中信银行,6.72,9.96,极低,6.24,9.36,7.3,7.39,-7.14,6.72,6.93,7.21,7.3,7.42,7.83,8.2,0.81,5.18,极低,0.74,1.29,0.91,0.92,-8.64,0.83,0.85,0.88,0.91,0.93,0.99,1.03,1.84,7.5,极低,1.76,2.85,2.04,2.07,-4.35,1.88,1.93,2.01,2.04,2.07,2.18,2.27,24.59,86.49,较高,-149.41,128.61,4.08,0.16,-707.6,-62.51,-3.57,3.77,4.08,9.88,15.23,25.92,12.07,34.24,偏低,10.71,14.64,12.29,12.5,-11.27,11.59,11.66,12.17,12.29,12.55,13.59,14.09,4.78,97.14,极高,2.79,5.02,3.71,3.71,-41.63,3.17,3.33,3.57,3.71,3.77,4.04,4.29,385.93,10.88,14.41,,12.08,6.93,0.97,银行I,733,2015-08-11,2018-08-10,3
